Country/Region;Continent;Population;TotalRecovered;ActiveCases;Tot Cases/1M pop;Deaths/1M pop;Tests/1M pop;Recovered/1M pop;ActiveCases/1M pop
USA;North America;331198130;2576668;2292707;15194;492;190640;7780;6922
Brazil;South America;212710692;2047660;771258;13716;464;62085;9627;3626
India;Asia;1381344997;1377384;606387;1466;30;16035;997;439
Russia;Europe;145940924;676357;180931;5974;100;203623;4634;1240
South Africa;Africa;59381566;387316;141264;9063;162;53044;6522;2379
Mexico;North America;129066160;308848;103325;3585;391;8189;2393;801
Peru;South America;33016319;310337;124648;13793;619;75521;9400;3775
Chile;South America;19132514;340168;16614;19165;517;92022;17780;868
Colombia;South America;50936262;192355;153416;7023;234;35374;3776;3012
Iran;Asia;84097623;277463;24678;3806;214;31068;3299;293
Saudi Arabia;Asia;34865919;247089;34082;8152;88;104277;7087;978
Pakistan;Asia;221295851;256058;19770;1274;27;9304;1157;89
Bangladesh;Asia;164851401;143824;102521;1514;20;7432;872;622
Italy;Europe;60452568;201323;12694;4122;582;117443;3330;210
Turkey;Asia;84428331;220546;10921;2810;69;60191;2612;129
Argentina;South America;45236884;99852;124092;5044;94;17564;2207;2743
Germany;Europe;83811260;196200;9758;2568;110;102452;2341;116
France;Europe;65288306;82460;82861;2996;464;61147;1263;1269
Iraq;Asia;40306025;101025;34417;3488;128;27111;2506;854
Philippines;Asia;109722719;66837;50473;1089;20;15220;609;460
Indonesia;Asia;273808365;75645;37587;434;20;5965;276;137
Canada;North America;37775022;103106;6489;3139;237;114339;2729;172
Qatar;Asia;2807805;108831;3083;39922;63;181993;38760;1098
Kazakhstan;Asia;18798667;68871;26013;5104;56;115099;3664;1384
Egypt;Africa;102516525;48898;41157;927;48;1317;477;401
Ecuador;South America;17668824;71318;13342;5124;333;14635;4036;755
Bolivia;South America;11688459;27373;55585;7394;296;15706;2342;4756
Oman;Asia;5118446;70910;9311;15769;96;60411;13854;1819
Israel;Asia;9197590;53427;25556;8650;63;203581;5809;2779
Ukraine;Europe;43705858;42524;32465;1757;42;25549;973;743
Dominican Republic;North America;10858648;40539;34751;7048;115;25963;3733;3200
Panama;North America;4321282;45658;24186;16527;364;55769;10566;5597
Belgium;Europe;11594739;17661;43638;6137;850;152407;1523;3764
Kuwait;Asia;4276658;61610;7966;16378;110;122105;14406;1863
Belarus;Europe;9449001;63756;4167;7250;61;142269;6747;441
UAE;Asia;9902079;55739;5752;6246;36;531470;5629;581
Romania;Europe;19224023;28992;26337;3012;133;68631;1508;1370
Singapore;Asia;5854932;48031;6497;9318;5;251817;8204;1110
Guatemala;North America;17946899;42070;10150;3028;118;9624;2344;566
Portugal;Europe;10193593;37840;12478;5107;171;167308;3712;1224
Poland;Europe;37842302;35642;12099;1308;47;62752;942;320
Nigeria;Africa;206606300;32430;11884;219;5;1485;157;58
Honduras;North America;9919704;6116;37559;4546;143;11018;617;3786
Bahrain;Asia;1706669;39945;2788;25130;91;513691;23405;1634
Japan;Asia;126435859;28877;12360;334;8;7425;228;98
Armenia;Asia;2963811;31556;7491;13435;260;57898;10647;2527
Ghana;Africa;31133483;36384;3059;1273;6;13035;1169;98
Kyrgyzstan;Asia;6534479;30099;7113;5916;221;40970;4606;1089
Afghanistan;Asia;39009447;25840;9758;946;33;2317;662;250
Switzerland;Europe;8660952;31600;2523;4169;229;94997;3649;291
Azerbaijan;Asia;10148243;29275;3493;3276;47;75499;2885;344
Morocco;Africa;36953359;20553;8642;802;12;37448;556;234
Uzbekistan;Asia;33516027;19291;8849;845;5;41112;576;264
Serbia;Europe;8733665;14047;12664;3129;71;82799;1608;1450
Moldova;Europe;4032983;18676;7124;6603;205;31757;4631;1766
Ireland;Europe;4943200;23364;1240;5335;358;132084;4726;251
Kenya;Africa;53881160;10444;13568;453;7;6223;194;252
Venezuela;South America;28427499;12146;9958;784;7;55138;427;350
Nepal;Asia;29186486;15389;6296;745;2;25079;527;216
Austria;Europe;9011577;19596;1381;2408;80;104008;2175;153
Costa Rica;North America;5098730;7038;13832;4132;39;18850;1380;2713
Ethiopia;Africa;115223736;9027;11508;181;3;4069;78;100
Australia;Australia/Oceania;25528864;10941;8694;779;10;181419;429;341
El Salvador;North America;6489514;9236;9377;2947;79;38720;1423;1445
Czechia;Europe;10711019;12320;5021;1655;36;68030;1150;469
Cameroon;Africa;26606188;15320;2007;666;15;5600;576;75
Ivory Coast;Africa;26437950;12484;3860;622;4;3956;472;146
S. Korea;Asia;51273732;13543;673;283;6;31471;264;13
Denmark;Europe;5794279;12787;902;2469;106;285542;2207;156
Palestine;Asia;5112340;6907;6399;2621;18;39176;1351;1252
Bosnia and Herzegovina;Europe;3278650;7042;5970;4086;117;44842;2148;1821
Bulgaria;Europe;6942854;7374;5205;1874;63;42358;1062;750
Madagascar;Africa;27755708;10148;2244;451;5;1668;366;81
Sudan;Africa;43943536;6194;4823;268;17;9;141;110
North Macedonia;Europe;2083365;7480;3402;5471;248;52773;3590;1633
Senegal;Africa;16783877;7101;3391;638;13;6838;423;202
Norway;Europe;5425471;8857;355;1745;47;87152;1632;65
Malaysia;Asia;32406372;8713;200;279;4;30591;269;6
French Guiana;South America;299385;7240;840;27146;157;138324;24183;2806
Gabon;Africa;2230563;5609;2127;3491;23;38272;2515;954
Guinea;Africa;13164905;6757;858;582;4;1094;513;65
Haiti;North America;11416103;4832;2541;661;15;1616;423;223
Finland;Europe;5541604;6980;221;1359;60;70287;1260;40
Zambia;Africa;18430129;5786;1179;389;11;4900;314;64
Luxembourg;Europe;626952;5750;1204;11282;190;995282;9171;1920
Mauritania;Africa;4660728;5291;996;1383;34;12313;1135;214
Paraguay;South America;7141091;4974;1335;893;9;18943;697;187
Albania;Europe;2877470;3155;2673;2091;65;13553;1096;929
Lebanon;Asia;6822220;1974;3628;831;10;50609;289;532
Croatia;Europe;4102577;4688;561;1317;38;30546;1143;137
Djibouti;Africa;989387;5057;214;5387;60;60552;5111;216
Greece;Europe;10417673;1374;3539;492;20;59456;132;340
Libya;Africa;6880353;652;4120;709;16;8677;95;599
Equatorial Guinea;Africa;1407001;2182;2556;3426;59;31525;1551;1817
Maldives;Asia;541448;2725;1936;8643;35;158071;5033;3576
CAR;Africa;4837752;1641;2920;955;12;6116;339;604
Hungary;Europe;9657785;3463;534;476;62;36504;359;55
Malawi;Africa;19174839;2137;2217;234;7;1745;111;116
Zimbabwe;Africa;14883803;1264;2991;292;6;9434;85;201
Hong Kong;Asia;7503041;2458;1346;513;6;92287;328;179
Montenegro;Europe;628074;2178;1242;5541;96;61182;3468;1977
Thailand;Asia;69817894;3148;124;48;0.8;10731;45;2
Mayotte;Africa;273419;2738;265;11126;143;47546;10014;969
Eswatini;Africa;1161348;1476;1437;2556;47;17896;1271;1237
Sri Lanka;Asia;21422362;2541;287;133;0.5;7783;119;13
Cuba;North America;11325899;2409;278;245;8;25205;213;25
Cabo Verde;Africa;556581;2010;697;4912;49;110735;3611;1252
Namibia;Africa;2545264;563;2074;1042;6;11485;221;815
Mali;Africa;20302901;1954;474;126;6;1239;96;23
Slovakia;Europe;5459915;1824;627;454;5;49877;334;115
South Sudan;Africa;11206572;1175;1228;219;4;1075;105;110
Slovenia;Europe;2078968;1909;189;1069;60;65274;918;91
Lithuania;Europe;2718121;1656;434;799;30;198955;609;160
Estonia;Europe;1326627;1954;107;1601;47;92626;1473;81
Mozambique;Africa;31333962;795;1310;68;0.5;2079;25;42
Rwanda;Africa;12981546;1258;848;163;0.4;22051;97;65
Suriname;South America;587154;1446;621;3570;49;4743;2463;1058
Guinea-Bissau;Africa;1972277;944;1061;1030;14;761;479;538
Benin;Africa;12151976;1600;298;159;3;7709;132;25
Iceland;Europe;341465;1825;95;5652;29;438385;5345;278
Yemen;Asia;29886897;898;362;59;17;4;30;12
Tunisia;Africa;11830801;1241;350;139;4;8478;105;30
New Zealand;Australia/Oceania;5002100;1524;23;314;4;97348;305;5
Angola;Africa;32956300;520;899;45;2;1965;16;27
Uruguay;South America;3474956;1079;202;379;11;36535;311;58
Latvia;Europe;1883936;1070;173;677;17;110359;568;92
Jordan;Asia;10213138;1171;50;121;1;61562;115;5
Uganda;Africa;45867852;1102;116;27;0.1;6287;24;3
Cyprus;Asia;1208238;856;333;1000;16;179267;708;276
Georgia;Asia;3988368;987;202;302;4;60294;247;51
Niger;Africa;24281433;1057;27;47;3;373;44;1
Togo;Africa;8296582;697;293;122;3;5516;84;35
Jamaica;North America;2962478;745;201;323;4;14123;251;68
Malta;Europe;441663;670;267;2142;20;309541;1517;605
Andorra;Europe;77278;828;64;12216;673;48526;10715;828
Gambia;Africa;2422754;136;783;386;7;2139;56;323
Sao Tome and Principe;Africa;219544;797;66;3999;68;14025;3630;301
Botswana;Africa;2356075;63;739;341;0.8;29041;27;314
Bahamas;North America;393616;91;656;1933;36;12230;231;1667
Vietnam;Asia;97425470;392;345;8;0.1;4952;4;4
Lesotho;Africa;2143943;175;544;346;11;4091;82;254
San Marino;Europe;33938;657;0;20596;1238;178797;19359;0
R?union;Africa;895952;592;74;749;6;39532;661;83
Channel Islands;Europe;174022;533;17;3431;270;176535;3063;98
Guyana;South America;786936;189;327;684;28;6563;240;416
Taiwan;Asia;23821199;443;27;20;0.3;3473;19;1
Burundi;Africa;11922216;304;90;33;0.08;1310;25;8
Myanmar;Asia;54446389;308;43;7;0.1;2246;6;1
Mauritius;Africa;1271985;334;0;270;8;161389;263;0
Isle of Man;Europe;85078;312;0;3949;282;101401;3667;0
Guadeloupe;North America;400131;179;86;697;35;46175;447;215
Martinique;North America;375235;98;163;736;40;32585;261;434
Aruba;North America;106812;114;146;2462;28;131511;1067;1367
Trinidad and Tobago;North America;1399950;135;67;150;6;6828;96;48
Cayman Islands;North America;65798;202;0;3085;15;472780;3070;0
Papua New Guinea;Australia/Oceania;8963009;53;107;18;0.3;1206;6;12
Sint Maarten;North America;42924;64;80;3728;373;25976;1491;1864
Bermuda;North America;62254;144;4;2522;145;423298;2313;64
Brunei ;Asia;437893;138;0;322;7;93968;315;0
Barbados;North America;287411;100;26;463;24;42563;348;90
Turks and Caicos;North America;38768;39;88;3327;52;32295;1006;2270
Monaco;Europe;39270;105;16;3183;102;972982;2674;407
Antigua and Barbuda;North America;98010;76;13;939;31;15305;775;133
Liechtenstein;Europe;38139;85;3;2334;26;23598;2229;79
Belize;North America;398312;31;53;216;5;9236;78;133
Saint Martin;North America;38729;41;9;1368;77;30546;1059;232
Cura?ao;North America;164161;28;2;189;6;6579;171;12
Fiji;Australia/Oceania;897095;18;8;30;1;7461;20;9
Montserrat;North America;4992;10;2;2604;200;12220;2003;401
